Reported by,Metric Category,Metric,Sub-Group,Unit of Measure,Comments,Date,Value,Plant,Fuel
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-07-01,132.05,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-07-01,38.609,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-07-01,69.118,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-07-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-07-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-07-01,1.67,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-07-01,4.853,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-07-01,2.7164,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-07-01,0.994,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-07-01,27.151,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-07-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-07-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-08-01,81.28,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-08-01,170.47,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-08-01,175.04,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-08-01,337.82,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-08-01,239.032,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-08-01,111.859,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-08-01,35.669,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-08-01,36.51631,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-08-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-08-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-08-01,1.163,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-08-01,3.947,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-08-01,2.429,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-08-01,0.67,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-08-01,24.841,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-08-01,0.017,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-08-01,0.009,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-09-01,80.076,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-09-01,130.789,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-09-01,203.34,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-09-01,290.0,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-09-01,251.812,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-09-01,66.007,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-09-01,21.318,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-09-01,9.135,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-09-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-09-01,1.269,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-09-01,1.968,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-09-01,4.354,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-09-01,4.302,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-09-01,2.228,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-09-01,17.118,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-09-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-09-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-10-01,55.562,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-10-01,87.511,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-10-01,190.96,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-10-01,262.665,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-10-01,240.844,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-10-01,108.199,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-10-01,24.113,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-10-01,15.30431,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-10-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-10-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-10-01,2.511,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-10-01,4.182,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-10-01,6.496,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-10-01,3.019,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-10-01,18.715,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-10-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-10-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-11-01,51.289,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-11-01,43.304,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-11-01,194.62,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-11-01,332.965,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-11-01,174.264,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-11-01,65.587,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-11-01,5.638,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-11-01,6.775,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-11-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-11-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-11-01,0.554,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-11-01,2.563,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-11-01,0.775,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-11-01,1.115,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-11-01,10.799,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-11-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-11-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2020-12-01,50.705,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2020-12-01,33.254,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2020-12-01,185.82,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2020-12-01,348.61,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2020-12-01,176.687,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2020-12-01,57.171,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2020-12-01,12.235,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2020-12-01,2.974,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2020-12-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2020-12-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2020-12-01,1.757,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2020-12-01,1.721,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2020-12-01,1.148,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2020-12-01,1.115,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2020-12-01,10.969,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2020-12-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2020-12-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-01-01,0.0,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-01-01,0.0,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-01-01,206.38,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-01-01,355.845,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-01-01,229.783,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-01-01,28.574,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-01-01,3.306,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-01-01,1.892,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-01-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-01-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-01-01,0.072,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-01-01,0.401,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-01-01,0.219,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-01-01,0.657,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-01-01,3.957,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-01-01,0.005,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-01-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-02-01,0.0,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-02-01,79.618,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-02-01,257.11,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-02-01,146.365,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-02-01,133.186,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-02-01,82.986,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-02-01,4.458699999999999,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-02-01,4.815,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-02-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-02-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-02-01,1.041,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-02-01,0.864,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-02-01,2.759,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-02-01,0.965,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-02-01,17.887,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-02-01,0.001,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-02-01,0.002,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-03-01,0.0,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-03-01,86.577,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-03-01,310.81,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-03-01,193.04,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-03-01,128.819,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-03-01,99.309,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-03-01,15.8596,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-03-01,7.687,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-03-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-03-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-03-01,0.76,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-03-01,1.925,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-03-01,4.403,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-03-01,0.534,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-03-01,20.587,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-03-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-03-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-04-01,0.0,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-04-01,107.023,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-04-01,217.96,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-04-01,306.85,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-04-01,122.589,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-04-01,65.469,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-04-01,8.055,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-04-01,5.744,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-04-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-04-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-04-01,0.0,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-04-01,2.057,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-04-01,2.187,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-04-01,0.992,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-04-01,7.758,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-04-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-04-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-05-01,0.0,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-05-01,106.685,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-05-01,275.55,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-05-01,333.23,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-05-01,172.043,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-05-01,67.868,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-05-01,12.098900000000002,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-05-01,9.367,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-05-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-05-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-05-01,0.0,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-05-01,4.137,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-05-01,4.2,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-05-01,2.299,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-05-01,19.223,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-05-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-05-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-06-01,40.874,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-06-01,100.811,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-06-01,405.08,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-06-01,176.64,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-06-01,255.79,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-06-01,56.74,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-06-01,16.607599999999998,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-06-01,6.4,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-06-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-06-01,0.043,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-06-01,0.0,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-06-01,3.127,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-06-01,3.372,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-06-01,1.135,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-06-01,18.796,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-06-01,6.15e-05,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-06-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-07-01,58.923,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-07-01,157.054,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-07-01,447.2,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-07-01,143.945,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-07-01,250.851,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-07-01,48.003,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-07-01,17.3528,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-07-01,6.375,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-07-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-07-01,0.0,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-07-01,0.0,Yabucoa , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Daguao - Gas,GWh,,2021-07-01,2.974,Daguao , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Jobos - Gas,GWh,,2021-07-01,4.74,Jobos , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vega Baja - Gas,GWh,,2021-07-01,0.0,Vega Baja , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Cambalache - Gas,GWh,,2021-07-01,20.69,Cambalache , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Vieques - Diesel,GWh,,2021-07-01,0.0,Vieques , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),Culebra - Diesel,GWh,,2021-07-01,0.0,Culebra , Diesel
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Steam,GWh,,2021-08-01,61.97,San Juan , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Steam,GWh,,2021-08-01,162.319,Palo Seco , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Steam,GWh,,2021-08-01,389.25,Costa Sur , Steam
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Steam,GWh,,2021-08-01,172.525,Aguirre , Steam
Genera PR,Generation,Monthly thermal generation (by plant),San Juan - Combined Cycle,GWh,,2021-08-01,267.612,San Juan , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Combined Cycle,GWh,,2021-08-01,51.432,Aguirre , Combined Cycle
Genera PR,Generation,Monthly thermal generation (by plant),Mayagüez - Gas,GWh,,2021-08-01,30.196800000000003,Mayagüez , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Palo Seco - Gas,GWh,,2021-08-01,12.329,Palo Seco , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Costa Sur - Gas,GWh,,2021-08-01,0.0,Costa Sur , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Aguirre - Gas,GWh,,2021-08-01,0.723,Aguirre , Gas
Genera PR,Generation,Monthly thermal generation (by plant),Yabucoa - Gas,GWh,,2021-08-01,0.03,Yabucoa , Gas
